Symbol,Company_Name,Sector,Data_Exising,History_Existing
AFRI,Forafric Global PLC Ordinary Shares,Consumer Staples,True,918.0
AFRM,Affirm Holdings Inc. Class A Common Stock,Finance,True,934.0
AFYA,Afya Limited Class A Common Shares,Real Estate,True,1309.0
AG,First Majestic Silver Corp. Ordinary Shares (Canada),Basic Materials,True,4489.0
AGAE,Allied Gaming & Entertainment Inc. Common Stock,Consumer Discretionary,True,1743.0
AGBA,AGBA Group Holding Limited Ordinary Share,Finance,True,470.0
AGCO,AGCO Corporation Common Stock,Industrials,True,6225.0
AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,Finance,True,4575.0
AGEN,Agenus Inc. Common Stock,Health Care,True,6200.0
AGFY,Agrify Corporation Common Stock,Consumer Staples,True,924.0
AGI,Alamos Gold Inc. Class A Common Shares,Basic Materials,True,5390.0
AGIO,Agios Pharmaceuticals Inc. Common Stock,Health Care,True,2816.0
AGL,agilon health inc. Common Stock,Health Care,True,871.0
AGM,Federal Agricultural Mortgage Corporation Common Stock,Finance,True,6225.0
AGMH,AGM Group Holdings Inc. Class A Ordinary Shares,Technology,True,1624.0
AGNC,AGNC Investment Corp. Common Stock,Real Estate,True,4122.0
AGNCL,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock,Real Estate,True,517.0
AGNCM,AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,True,1403.0
AGNCN,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,True,1792.0
AGNCO,AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock,Real Estate,True,1260.0
AGNCP,AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock,Real Estate,True,1171.0
AGO,Assured Guaranty Ltd. Common Stock,Finance,True,5144.0
AGR,Avangrid Inc. Common Stock,Utilities,True,2210.0
AGRI,AgriFORCE  Growing Systems Ltd. Common Shares,Industrials,True,813.0
AGRO,Adecoagro S.A. Common Shares,Consumer Staples,True,3440.0
AGS,PlayAGS Inc. Common Stock,Consumer Discretionary,True,1680.0
AGX,Argan Inc. Common Stock,Consumer Discretionary,True,6225.0
AGYS,Agilysys Inc. Common Stock (DE),Technology,True,6225.0
AHCO,AdaptHealth Corp. Common Stock,Health Care,True,1594.0
AHG,Akso Health Group ADS,Consumer Discretionary,True,1736.0
AHH,Armada Hoffler Properties Inc. Common Stock,Finance,True,2869.0
AHR,American Healthcare REIT Inc. Common Stock,Real Estate,True,163.0
AHT,Ashford Hospitality Trust Inc Common Stock,Real Estate,True,5310.0
AI,C3.ai Inc. Class A Common Stock,Technology,True,957.0
AIEV,Thunder Power Holdings Inc. Common Stock,Consumer Discretionary,True,540.0
AIFF,Firefly Neuroscience Inc. Common Stock,Technology,True,6225.0
AIG,American International Group Inc. New Common Stock,Finance,True,6225.0
AIHS,Senmiao Technology Limited Common Stock,Finance,True,1645.0
AILE,iLearningEngines Inc. Common Stock,Technology,True,864.0
AIM,AIM ImmunoTech Inc. Common Stock,Health Care,True,6225.0
AIMAU,Aimfinity Investment Corp. I Unit,Finance,True,611.0
AIMBU,Aimfinity Investment Corp. I Subunit,Finance,True,285.0
AIMD,Ainos Inc. Common Stock,Health Care,True,937.0
AIN,Albany International Corporation Common Stock,Consumer Discretionary,True,6225.0
AIO,Virtus Artificial Intelligence & Technology Opportunities Fund Common Shares of Beneficial Interest,Finance,True,1238.0
AIOT,PowerFleet Inc. Common Stock,Telecommunications,True,6225.0
AIP,Arteris Inc. Common Stock,Technology,True,735.0
AIR,AAR Corp. Common Stock,Industrials,True,6225.0
AIRE,reAlpha Tech Corp. Common Stock,Finance,True,236.0
AIRG,Airgain Inc. Common Stock,Technology,True,2046.0
AIRI,Air Industries Group Common Stock,Industrials,True,6033.0
AIRJ,Montana Technologies Corporation Class A Common Stock,Industrials,True,669.0
AIRS,AirSculpt Technologies Inc. Common Stock,Health Care,True,733.0
AIRT,Air T Inc. Common Stock,Consumer Discretionary,True,6225.0
AIRTP,Air T Inc. Air T Funding Alpha Income Trust Preferred Securities,Consumer Discretionary,True,1334.0
AISP,Airship AI Holdings Inc. Class A Common Stock,Technology,True,854.0
AIT,Applied Industrial Technologies Inc. Common Stock,Consumer Discretionary,True,6225.0
AIV,Apartment Investment and Management Company Common Stock,Real Estate,True,6225.0
AIXI,XIAO-I Corporation American Depositary Shares,Technology,True,393.0
AIZ,Assurant Inc. Common Stock,Finance,True,5198.0
AIZN,Assurant Inc. 5.25% Subordinated Notes due 2061,Finance,True,966.0
AJG,Arthur J. Gallagher & Co. Common Stock,Finance,True,6225.0
AJX,Great Ajax Corp. Common Stock,Real Estate,True,2423.0
AKA,a.k.a. Brands Holding Corp. Common Stock,Consumer Discretionary,True,760.0
AKAM,Akamai Technologies Inc. Common Stock,Consumer Discretionary,True,6225.0
AKAN,Akanda Corp. Common Shares,Health Care,True,640.0
AKBA,Akebia Therapeutics Inc. Common Stock,Health Care,True,2651.0
AKR,Acadia Realty Trust Common Stock,Real Estate,True,6225.0
AKRO,Akero Therapeutics Inc. Common Stock,Health Care,True,1329.0
AKTS,Akoustis Technologies Inc. Common Stock,Utilities,True,2347.0
AKTX,Akari Therapeutics plc ADS,Health Care,True,2702.0
AKYA,Akoya BioSciences Inc. Common Stock,Industrials,True,870.0
AL,Air Lease Corporation Class A Common Stock,Consumer Discretionary,True,3384.0
ALAB,Astera Labs Inc. Common Stock,Technology,True,134.0
ALAR,Alarum Technologies Ltd. American Depositary Share,Technology,True,1539.0
ALB,Albemarle Corporation Common Stock,Industrials,True,6225.0
ALBT,Avalon GloboCare Corp. Common Stock,Health Care,True,1639.0
ALC,Alcon Inc. Ordinary Shares,Health Care,True,1379.0
ALCE,Alternus Clean Energy Inc. Class A Common Stock,Utilities,True,615.0
ALCY,Alchemy Investments Acquisition Corp 1 Class A Ordinary Shares,Finance,True,311.0
ALDX,Aldeyra Therapeutics Inc. Common Stock,Health Care,True,2621.0
ALE,Allete Inc.,Utilities,True,6225.0
ALEC,Alector Inc. Common Stock,Health Care,True,1421.0
ALEX,Alexander & Baldwin Inc. Common Stock REIT Holding Company,Real Estate,True,3093.0
ALG,Alamo Group Inc. Common Stock,Industrials,True,6225.0
ALGM,Allegro MicroSystems Inc. Common Stock,Technology,True,985.0
ALGN,Align Technology Inc. Common Stock,Health Care,True,5954.0
